Target,model,epsilon,auc,auprc,acc,F1
los_7,RF,Benchmark,0.764,0.195,0.923,0
los_7,RF,Control,0.734915553,0.195608595,0.928810021,0
los_7,RF,10,0.728697806,0.183926668,0.928810021,0
los_7,RF,1,0.708766476,0.177979974,0.928810021,0
los_7,RF,0.5,0.692820028,0.169737618,0.928810021,0
los_7,RF,0.1,0.695859361,0.161668995,0.928810021,0
los_7,RF,0.05,0.70278009,0.170685074,0.928810021,0
los_7,RF,0.01,0.697747492,0.160738558,0.928810021,0
los_7,RF,0.005,0.698194395,0.163365188,0.928810021,0
los_7,LR,Benchmark,0.724,0.185,0.919,0.072
los_7,LR,Control,0.727713698,0.181307071,0.928183716,0.022727273
los_7,LR,10,0.717625431,0.1770654,0.929018789,0.005847953
los_7,LR,1,0.673627933,0.140555918,0.928810021,0
los_7,LR,0.5,0.624879293,0.123420867,0.928810021,0
los_7,LR,0.1,0.641634187,0.129788442,0.928810021,0
los_7,LR,0.05,0.632152337,0.120333512,0.928810021,0
los_7,LR,0.01,0.5,0.071189979,0.928810021,0
los_7,LR,0.005,0.5,0.071189979,0.928810021,0
los_7,GRU-D,Benchmark,0.71,0.179,0.912,0.107
los_7,GRU-D,Control,0.708628719,0.16468257,0.916666667,0.131221719
los_7,GRU-D,10,0.746992803,0.176492478,0.927734375,0
los_7,GRU-D,1,0.724320065,0.194156143,0.924479167,0.084210526
los_7,GRU-D,0.5,0.735713389,0.18105781,0.927998311,0.050139276
los_7,GRU-D,0.1,0.737708651,0.178168059,0.914279514,0.195519348
los_7,GRU-D,0.05,0.722857834,0.164784014,0.928819444,0.006060606
los_7,GRU-D,0.01,0.71656627,0.168749352,0.928420608,0
los_7,GRU-D,0.005,0.722141264,0.17357653,0.927517361,0.034682081
los_3,RF,Benchmark,0.736,0.685,0.695,0.595
los_3,RF,Control,0.696332885,0.656093349,0.668267223,0.530020704
los_3,RF,10,0.683701747,0.641971118,0.656158664,0.490250696
los_3,RF,1,0.664960792,0.616739337,0.643632568,0.479731789
los_3,RF,0.5,0.654541359,0.600209299,0.633402923,0.48744892
los_3,RF,0.1,0.65610971,0.602716163,0.63611691,0.481712756
los_3,RF,0.05,0.662943832,0.612579324,0.64091858,0.498834499
los_3,RF,0.01,0.645873217,0.581986786,0.628810021,0.52637187
los_3,RF,0.005,0.650485604,0.592507028,0.635908142,0.501998858
los_3,LR,Benchmark,0.716,0.651,0.686,0.594
los_3,LR,Control,0.686564173,0.639828574,0.654488518,0.513378418
los_3,LR,10,0.661290534,0.6161245,0.645511482,0.455769231
los_3,LR,1,0.621573042,0.5752276,0.570772443,0.031102733
los_3,LR,0.5,0.617262183,0.56964111,0.567014614,0
los_3,LR,0.1,0.5467026,0.503422825,0.567014614,0
los_3,LR,0.05,0.504266034,0.440685474,0.567014614,0
los_3,LR,0.01,0.506598989,0.458967466,0.567014614,0
los_3,LR,0.005,0.508886232,0.436726116,0.567014614,0
los_3,GRU-D,Benchmark,0.733,0.685,0.683,0.622
los_3,GRU-D,Control,0.710440926,0.667553503,0.678842905,0.568265683
los_3,GRU-D,10,0.7132063,0.663758947,0.684966216,0.565774156
los_3,GRU-D,1,0.701603005,0.638851099,0.678385417,0.551995163
los_3,GRU-D,0.5,0.696248853,0.636333445,0.677734375,0.576802508
los_3,GRU-D,0.1,0.707218434,0.646992449,0.670355903,0.575342466
los_3,GRU-D,0.05,0.703323134,0.644639028,0.675347222,0.564356436
los_3,GRU-D,0.01,0.670079619,0.618349776,0.656672297,0.50244798
los_3,GRU-D,0.005,0.710948428,0.652451767,0.6796875,0.601511879
